Transaction ID,Sender Account ID,Receiver Account ID,Transaction Amount,Transaction Type,Date,Time,Transaction Status,Fraud Flag,Latitude,Longitude,Device Used,Network Slice ID,Latency (ms),Slice Bandwidth (Mbps),PIN Code
TXN9549826715,ACC39544,ACC52922,910.24,Withdrawal,17/01/2025,10:11:00 AM,Success,FALSE,35.6895 N, 139.6917 W,Mobile,Slice1,15,243,7286
TXN7131992962,ACC25089,ACC78786,992.8,Withdrawal,17/01/2025,10:43:00 AM,Failed,TRUE,34.0522 N, 139.6917 W,Desktop,Slice1,11,139,7140
TXN2209185137,ACC97614,ACC48951,793.95,Deposit,17/01/2025,10:55:00 AM,Success,FALSE,48.8566 N, 2.3522 W,Mobile,Slice1,8,229,4693
TXN2465139688,ACC21498,ACC64106,1483.75,Transfer,17/01/2025,10:03:00 AM,Success,FALSE,55.7558 N, 0.1278 W,Desktop,Slice1,11,82,1470
TXN4231576514,ACC33069,ACC45185,944.51,Withdrawal,17/01/2025,10:53:00 AM,Failed,TRUE,34.0522 N, 0.1278 W,Desktop,Slice3,18,228,4036
TXN6050985831,ACC90300,ACC78072,1093.14,Withdrawal,17/01/2025,10:05:00 AM,Failed,FALSE,35.6895 N, -118.2437 W,Desktop,Slice3,10,224,3581
TXN6614511449,ACC14564,ACC10609,326.66,Withdrawal,17/01/2025,10:41:00 AM,Success,TRUE,34.0522 N, -74.006 W,Mobile,Slice1,3,161,8229
TXN1408798870,ACC88133,ACC15217,819.69,Transfer,17/01/2025,10:37:00 AM,Failed,FALSE,48.8566 N, 2.3522 W,Mobile,Slice3,20,135,6830
TXN2483635578,ACC33701,ACC13238,436.83,Withdrawal,17/01/2025,10:36:00 AM,Failed,FALSE,35.6895 N, 37.6173 W,Mobile,Slice1,7,99,1453
TXN4437479248,ACC45830,ACC66726,480.29,Withdrawal,17/01/2025,10:32:00 AM,Failed,TRUE,51.5074 N, -118.2437 W,Mobile,Slice2,7,84,3773
TXN1414294833,ACC24121,ACC36934,681.23,Deposit,17/01/2025,10:03:00 AM,Success,FALSE,48.8566 N, -74.006 W,Desktop,Slice1,14,63,6512
TXN3244921303,ACC69633,ACC88988,434.31,Withdrawal,17/01/2025,10:56:00 AM,Failed,TRUE,51.5074 N, -74.006 W,Mobile,Slice2,18,67,8452
TXN4585920895,ACC47679,ACC51725,196.41,Deposit,17/01/2025,10:04:00 AM,Failed,FALSE,34.0522 N, -74.006 W,Desktop,Slice3,12,99,9155
TXN3085164852,ACC74608,ACC33619,144.1,Transfer,17/01/2025,10:49:00 AM,Failed,FALSE,35.6895 N, -74.006 W,Desktop,Slice2,15,52,6286
TXN4215761542,ACC49303,ACC99378,313.72,Deposit,17/01/2025,10:32:00 AM,Failed,TRUE,48.8566 N, 139.6917 W,Desktop,Slice1,19,55,7513
TXN2921000330,ACC74920,ACC58633,209.97,Withdrawal,17/01/2025,10:33:00 AM,Success,FALSE,55.7558 N, 0.1278 W,Mobile,Slice2,10,94,1879
TXN1245169622,ACC91787,ACC54608,879.63,Withdrawal,17/01/2025,10:14:00 AM,Success,TRUE,34.0522 N, 2.3522 W,Desktop,Slice2,17,240,1874
TXN3864456208,ACC52721,ACC22595,906.98,Withdrawal,17/01/2025,10:58:00 AM,Failed,TRUE,35.6895 N, 0.1278 W,Mobile,Slice3,10,102,6150
TXN2157994961,ACC60872,ACC56165,1017.3,Deposit,17/01/2025,10:52:00 AM,Failed,TRUE,35.6895 N, 139.6917 W,Mobile,Slice3,11,100,9988
TXN3293165874,ACC43244,ACC67743,972.39,Withdrawal,17/01/2025,10:44:00 AM,Success,TRUE,34.0522 N, -118.2437 W,Desktop,Slice3,17,159,1712
TXN2467998038,ACC92520,ACC54323,1436.77,Withdrawal,17/01/2025,11:00:00 AM,Failed,FALSE,48.8566 N, -118.2437 W,Mobile,Slice1,16,192,5044
TXN4014434434,ACC50922,ACC98669,1094.34,Transfer,17/01/2025,10:55:00 AM,Failed,FALSE,51.5074 N, -118.2437 W,Mobile,Slice1,4,102,7573
TXN5548725719,ACC49858,ACC26440,1235.27,Deposit,17/01/2025,10:31:00 AM,Success,FALSE,48.8566 N, 2.3522 W,Mobile,Slice3,9,237,5090
TXN8905996384,ACC15856,ACC12045,737.12,Deposit,17/01/2025,10:46:00 AM,Success,FALSE,55.7558 N, -74.006 W,Desktop,Slice3,20,190,9034
TXN6478721697,ACC74483,ACC16913,524.38,Deposit,17/01/2025,10:38:00 AM,Success,TRUE,35.6895 N, -74.006 W,Mobile,Slice1,18,203,3964
TXN4336351484,ACC80523,ACC75671,940.3,Deposit,17/01/2025,10:55:00 AM,Success,TRUE,35.6895 N, 2.3522 W,Mobile,Slice2,6,214,9857
TXN5262577229,ACC23680,ACC21510,339.18,Deposit,17/01/2025,10:19:00 AM,Failed,FALSE,55.7558 N, 2.3522 W,Desktop,Slice2,20,123,6922
TXN9214993999,ACC59081,ACC63217,713.85,Withdrawal,17/01/2025,10:38:00 AM,Success,TRUE,48.8566 N, 37.6173 W,Desktop,Slice1,12,127,6163
TXN6819290771,ACC89817,ACC51611,1069.09,Withdrawal,17/01/2025,10:24:00 AM,Failed,TRUE,48.8566 N, 139.6917 W,Mobile,Slice2,6,249,9044
TXN6762754838,ACC88574,ACC43420,311.12,Withdrawal,17/01/2025,10:32:00 AM,Success,FALSE,55.7558 N, 37.6173 W,Desktop,Slice3,17,225,3789
TXN6621010350,ACC62557,ACC33681,1393.36,Transfer,17/01/2025,10:10:00 AM,Success,FALSE,48.8566 N, 0.1278 W,Desktop,Slice3,8,232,4607
TXN2716831379,ACC36992,ACC58355,412.43,Transfer,17/01/2025,10:18:00 AM,Success,FALSE,55.7558 N, 2.3522 W,Mobile,Slice1,8,239,9690
TXN4412754237,ACC52000,ACC38394,1246.4,Transfer,17/01/2025,10:55:00 AM,Success,FALSE,34.0522 N, 139.6917 W,Desktop,Slice2,9,132,8747
TXN9958195472,ACC73496,ACC80439,713.43,Withdrawal,17/01/2025,10:48:00 AM,Failed,TRUE,51.5074 N, 0.1278 W,Desktop,Slice1,20,243,5761
TXN6513452870,ACC66844,ACC30757,497.06,Deposit,17/01/2025,10:25:00 AM,Failed,TRUE,40.7128 N, -118.2437 W,Desktop,Slice3,20,113,8985
TXN9430193570,ACC18315,ACC68473,480.26,Deposit,17/01/2025,10:13:00 AM,Failed,TRUE,40.7128 N, -118.2437 W,Mobile,Slice2,16,201,3332
TXN6154853073,ACC37651,ACC65346,1446.89,Withdrawal,17/01/2025,10:15:00 AM,Failed,TRUE,55.7558 N, -118.2437 W,Mobile,Slice1,15,83,7612
TXN8166922226,ACC26967,ACC15608,72.36,Withdrawal,17/01/2025,10:19:00 AM,Failed,FALSE,55.7558 N, 0.1278 W,Mobile,Slice2,20,126,4866
TXN1289142632,ACC66840,ACC46222,1177.64,Transfer,17/01/2025,10:32:00 AM,Success,FALSE,34.0522 N, -118.2437 W,Desktop,Slice3,14,125,1388
TXN8741905833,ACC67128,ACC77786,1495.01,Transfer,17/01/2025,10:46:00 AM,Success,TRUE,35.6895 N, 0.1278 W,Mobile,Slice1,14,203,7450
TXN4267987212,ACC31799,ACC80677,235.44,Withdrawal,17/01/2025,10:49:00 AM,Failed,TRUE,51.5074 N, 0.1278 W,Mobile,Slice3,19,216,7664
TXN2821070438,ACC57649,ACC31216,572.09,Transfer,17/01/2025,10:07:00 AM,Failed,FALSE,35.6895 N, 0.1278 W,Mobile,Slice3,19,233,4388
TXN1672215014,ACC57995,ACC32223,513.84,Withdrawal,17/01/2025,10:25:00 AM,Success,TRUE,55.7558 N, 37.6173 W,Mobile,Slice2,20,62,6752
TXN8113502181,ACC67528,ACC13653,899.08,Deposit,17/01/2025,10:09:00 AM,Failed,FALSE,48.8566 N, 139.6917 W,Desktop,Slice1,10,162,5514
TXN9237255174,ACC54120,ACC50698,765.31,Deposit,17/01/2025,10:13:00 AM,Success,TRUE,34.0522 N, 0.1278 W,Desktop,Slice3,7,184,6602
TXN3528546769,ACC13553,ACC11678,677.07,Transfer,17/01/2025,10:39:00 AM,Failed,FALSE,51.5074 N, 0.1278 W,Desktop,Slice3,20,87,7731
TXN5396087707,ACC18004,ACC86789,1468.89,Transfer,17/01/2025,10:14:00 AM,Success,FALSE,40.7128 N, 0.1278 W,Mobile,Slice1,16,238,5546
TXN7046403704,ACC90900,ACC53471,1344.01,Withdrawal,17/01/2025,10:46:00 AM,Failed,FALSE,55.7558 N, 37.6173 W,Mobile,Slice3,10,63,4791
TXN6246207885,ACC34364,ACC98698,571.22,Transfer,17/01/2025,10:23:00 AM,Success,FALSE,55.7558 N, 37.6173 W,Desktop,Slice2,15,185,5087
TXN3337399700,ACC13343,ACC89104,1480.16,Deposit,17/01/2025,10:24:00 AM,Success,FALSE,55.7558 N, -74.006 W,Mobile,Slice2,10,111,4388
TXN5508021804,ACC93597,ACC89011,980.64,Deposit,17/01/2025,10:50:00 AM,Failed,FALSE,35.6895 N, 139.6917 W,Desktop,Slice1,20,237,6810
TXN5377295849,ACC94970,ACC40110,989.51,Withdrawal,17/01/2025,10:17:00 AM,Success,TRUE,51.5074 N, 0.1278 W,Mobile,Slice2,15,66,7067
TXN5873377008,ACC25767,ACC52947,724.95,Withdrawal,17/01/2025,10:45:00 AM,Success,FALSE,55.7558 N, 139.6917 W,Mobile,Slice3,11,219,4405
TXN6379637727,ACC88149,ACC56767,437.44,Transfer,17/01/2025,10:41:00 AM,Failed,TRUE,55.7558 N, 139.6917 W,Mobile,Slice2,9,94,7397
TXN6032073253,ACC29569,ACC67695,1149.48,Transfer,17/01/2025,10:07:00 AM,Success,FALSE,35.6895 N, -118.2437 W,Mobile,Slice3,20,74,6910
TXN4435141979,ACC29421,ACC13222,1279.44,Transfer,17/01/2025,10:49:00 AM,Success,FALSE,55.7558 N, 37.6173 W,Mobile,Slice1,20,157,3090
TXN2596037056,ACC51541,ACC16323,1240.14,Withdrawal,17/01/2025,10:20:00 AM,Failed,TRUE,40.7128 N, -74.006 W,Mobile,Slice1,5,223,5480
TXN2003291230,ACC54543,ACC59805,1303.52,Withdrawal,17/01/2025,10:56:00 AM,Failed,TRUE,55.7558 N, 37.6173 W,Mobile,Slice3,18,173,6469
TXN3688688205,ACC66486,ACC23899,526.37,Withdrawal,17/01/2025,10:53:00 AM,Failed,FALSE,55.7558 N, 37.6173 W,Mobile,Slice1,19,78,6087
TXN2239357669,ACC97992,ACC87898,1269.91,Withdrawal,17/01/2025,10:27:00 AM,Failed,FALSE,34.0522 N, 37.6173 W,Desktop,Slice3,13,116,1000
TXN5485668345,ACC46185,ACC54485,616.37,Transfer,17/01/2025,10:48:00 AM,Failed,TRUE,48.8566 N, 139.6917 W,Desktop,Slice1,3,79,4823
TXN1251635719,ACC66754,ACC83421,196.79,Transfer,17/01/2025,10:58:00 AM,Success,FALSE,51.5074 N, 139.6917 W,Mobile,Slice2,5,59,5873
TXN6762132763,ACC88711,ACC75053,252.77,Withdrawal,17/01/2025,10:03:00 AM,Failed,TRUE,48.8566 N, -74.006 W,Desktop,Slice3,15,67,3418
TXN8623160750,ACC77809,ACC75035,762.47,Withdrawal,17/01/2025,10:48:00 AM,Failed,FALSE,35.6895 N, 2.3522 W,Mobile,Slice3,13,183,5682
TXN5936318239,ACC34015,ACC98334,1349.84,Withdrawal,17/01/2025,10:52:00 AM,Success,TRUE,40.7128 N, 139.6917 W,Mobile,Slice1,18,110,7463
TXN9200557220,ACC11202,ACC23780,140,Transfer,17/01/2025,10:19:00 AM,Failed,TRUE,35.6895 N, 37.6173 W,Desktop,Slice2,7,158,5249
TXN6966473752,ACC90065,ACC76152,1406.15,Transfer,17/01/2025,10:56:00 AM,Failed,FALSE,40.7128 N, -74.006 W,Desktop,Slice3,13,235,4275
TXN7094903743,ACC67955,ACC99356,929.9,Transfer,17/01/2025,10:19:00 AM,Success,FALSE,55.7558 N, 37.6173 W,Mobile,Slice1,16,134,3155
TXN8282202403,ACC89596,ACC40926,315.13,Withdrawal,17/01/2025,10:46:00 AM,Failed,FALSE,35.6895 N, 0.1278 W,Mobile,Slice2,13,61,9739
TXN2346550714,ACC59386,ACC31436,275.22,Deposit,17/01/2025,10:43:00 AM,Success,FALSE,40.7128 N, 139.6917 W,Mobile,Slice1,6,94,1813
TXN3001048865,ACC64461,ACC44992,1054.67,Transfer,17/01/2025,10:38:00 AM,Success,FALSE,48.8566 N, -74.006 W,Desktop,Slice1,12,118,4714
TXN3954388296,ACC33685,ACC32275,1258.41,Transfer,17/01/2025,10:14:00 AM,Success,FALSE,40.7128 N, 0.1278 W,Mobile,Slice2,5,188,8085
TXN4350246343,ACC81201,ACC20704,217.56,Transfer,17/01/2025,10:35:00 AM,Success,TRUE,48.8566 N, 0.1278 W,Mobile,Slice1,13,170,4366
TXN3226960880,ACC83398,ACC99759,1174.55,Transfer,17/01/2025,10:44:00 AM,Failed,FALSE,40.7128 N, 2.3522 W,Mobile,Slice2,17,84,6473
TXN7891760943,ACC69922,ACC52904,1042.62,Transfer,17/01/2025,10:43:00 AM,Failed,TRUE,40.7128 N, 2.3522 W,Desktop,Slice3,20,184,1706
TXN1937189886,ACC43888,ACC87309,51.89,Deposit,17/01/2025,10:34:00 AM,Failed,FALSE,48.8566 N, -74.006 W,Mobile,Slice3,17,148,4219
TXN4264661286,ACC52163,ACC31994,757.11,Withdrawal,17/01/2025,10:31:00 AM,Failed,TRUE,34.0522 N, -118.2437 W,Desktop,Slice1,9,205,8491
TXN3465692464,ACC53784,ACC66043,802.33,Transfer,17/01/2025,10:39:00 AM,Success,TRUE,51.5074 N, -118.2437 W,Desktop,Slice1,16,134,2152
TXN5769283480,ACC14634,ACC44684,556.32,Transfer,17/01/2025,11:00:00 AM,Failed,TRUE,48.8566 N, 37.6173 W,Mobile,Slice3,3,144,5823
TXN8525219190,ACC54648,ACC11205,256.48,Withdrawal,17/01/2025,10:14:00 AM,Failed,TRUE,55.7558 N, 139.6917 W,Desktop,Slice3,4,195,1686
TXN9707155018,ACC68228,ACC39270,538.85,Deposit,17/01/2025,10:40:00 AM,Success,FALSE,48.8566 N, -118.2437 W,Desktop,Slice3,3,100,2582
TXN1600361546,ACC83231,ACC28803,703.98,Withdrawal,17/01/2025,10:54:00 AM,Success,TRUE,34.0522 N, -74.006 W,Desktop,Slice2,6,125,3861
TXN5364984512,ACC68793,ACC11919,573.31,Deposit,17/01/2025,11:00:00 AM,Success,TRUE,51.5074 N, -118.2437 W,Desktop,Slice1,14,86,9448
TXN9190915445,ACC22862,ACC56214,1317.9,Deposit,17/01/2025,10:11:00 AM,Failed,FALSE,48.8566 N, 0.1278 W,Mobile,Slice1,11,77,3774
TXN9993789277,ACC93052,ACC75393,717.18,Deposit,17/01/2025,10:13:00 AM,Success,FALSE,55.7558 N, 0.1278 W,Mobile,Slice1,19,191,7579
TXN4326221784,ACC81249,ACC67099,585.21,Withdrawal,17/01/2025,10:33:00 AM,Success,TRUE,55.7558 N, -118.2437 W,Mobile,Slice3,20,190,6561
TXN3052947958,ACC14822,ACC75071,370.03,Withdrawal,17/01/2025,10:25:00 AM,Success,FALSE,35.6895 N, -74.006 W,Desktop,Slice1,9,196,1152
TXN1092084478,ACC81497,ACC20308,1091.12,Deposit,17/01/2025,10:38:00 AM,Success,TRUE,55.7558 N, 37.6173 W,Mobile,Slice2,16,92,3872
TXN9572905121,ACC17884,ACC81417,1181.48,Transfer,17/01/2025,10:39:00 AM,Failed,TRUE,34.0522 N, 37.6173 W,Mobile,Slice2,17,164,2158
TXN5843964744,ACC50985,ACC96391,614.35,Deposit,17/01/2025,10:46:00 AM,Failed,FALSE,34.0522 N, 2.3522 W,Mobile,Slice3,13,73,6599
TXN7450665604,ACC66864,ACC51253,459.03,Deposit,17/01/2025,10:38:00 AM,Success,TRUE,51.5074 N, 0.1278 W,Mobile,Slice1,6,99,7983
TXN8164649264,ACC91303,ACC96936,570.25,Withdrawal,17/01/2025,10:55:00 AM,Failed,FALSE,34.0522 N, 37.6173 W,Mobile,Slice2,7,190,1372
TXN5795848137,ACC91551,ACC53217,1080.96,Withdrawal,17/01/2025,10:24:00 AM,Success,TRUE,55.7558 N, 0.1278 W,Desktop,Slice1,19,141,4905
TXN8343278895,ACC34139,ACC73264,206.11,Withdrawal,17/01/2025,10:39:00 AM,Success,FALSE,34.0522 N, 37.6173 W,Desktop,Slice2,10,241,4955
TXN6206308673,ACC50016,ACC16610,906.4,Transfer,17/01/2025,10:09:00 AM,Failed,FALSE,48.8566 N, 139.6917 W,Desktop,Slice2,15,87,1704
TXN5071554698,ACC30548,ACC13373,1234.97,Deposit,17/01/2025,10:26:00 AM,Success,FALSE,35.6895 N, -74.006 W,Desktop,Slice3,11,107,8690
TXN6341592948,ACC32012,ACC88630,864.07,Transfer,17/01/2025,10:48:00 AM,Success,FALSE,34.0522 N, 0.1278 W,Desktop,Slice1,8,199,1263
TXN6010804010,ACC59380,ACC52745,1168.41,Withdrawal,17/01/2025,11:00:00 AM,Failed,FALSE,48.8566 N, 139.6917 W,Mobile,Slice3,15,117,2288
TXN6766899632,ACC22489,ACC48565,1063.01,Transfer,17/01/2025,10:31:00 AM,Success,FALSE,55.7558 N, -74.006 W,Mobile,Slice2,3,143,7105
TXN3026357479,ACC96637,ACC45161,578.36,Withdrawal,17/01/2025,10:41:00 AM,Failed,TRUE,34.0522 N, 0.1278 W,Mobile,Slice1,11,200,5563
TXN9295124367,ACC79913,ACC57156,389.42,Withdrawal,17/01/2025,10:27:00 AM,Failed,TRUE,55.7558 N, -74.006 W,Mobile,Slice1,13,81,5434
TXN1661230242,ACC56152,ACC48714,559.62,Deposit,17/01/2025,10:25:00 AM,Failed,TRUE,51.5074 N, -118.2437 W,Mobile,Slice1,11,201,5985
TXN1971749955,ACC51032,ACC88363,176.97,Deposit,17/01/2025,10:26:00 AM,Success,TRUE,51.5074 N, -74.006 W,Mobile,Slice3,7,226,2047
TXN7902609594,ACC80258,ACC57380,537.6,Transfer,17/01/2025,10:12:00 AM,Success,TRUE,34.0522 N, 2.3522 W,Mobile,Slice1,17,83,6005
TXN7992166468,ACC58190,ACC24649,561.3,Withdrawal,17/01/2025,10:08:00 AM,Failed,TRUE,35.6895 N, 139.6917 W,Desktop,Slice3,18,237,8550
TXN4342664555,ACC90317,ACC33256,1135.83,Transfer,17/01/2025,10:25:00 AM,Failed,TRUE,40.7128 N, -74.006 W,Mobile,Slice2,19,150,8700
TXN8112417243,ACC77643,ACC94743,499.93,Transfer,17/01/2025,10:51:00 AM,Success,TRUE,55.7558 N, 0.1278 W,Desktop,Slice3,18,147,3056
TXN1337209397,ACC47312,ACC44295,889.23,Withdrawal,17/01/2025,10:55:00 AM,Success,TRUE,34.0522 N, 0.1278 W,Desktop,Slice2,6,216,2256
TXN3239483041,ACC69369,ACC27407,638.84,Withdrawal,17/01/2025,10:04:00 AM,Success,FALSE,35.6895 N, 139.6917 W,Desktop,Slice3,10,105,2094
TXN8594411611,ACC61170,ACC73104,1456.87,Deposit,17/01/2025,10:26:00 AM,Failed,TRUE,48.8566 N, 2.3522 W,Mobile,Slice3,8,117,4216
TXN6822123619,ACC71070,ACC58930,561.06,Deposit,17/01/2025,10:11:00 AM,Failed,TRUE,40.7128 N, 139.6917 W,Desktop,Slice3,6,79,6167
TXN6454901818,ACC18477,ACC35128,1465.1,Transfer,17/01/2025,10:45:00 AM,Failed,FALSE,48.8566 N, 2.3522 W,Desktop,Slice2,7,200,4646
TXN3094737504,ACC55747,ACC43787,753.03,Transfer,17/01/2025,10:11:00 AM,Success,TRUE,40.7128 N, -74.006 W,Mobile,Slice1,18,89,8169
TXN1325800005,ACC53355,ACC88440,1421.77,Deposit,17/01/2025,10:03:00 AM,Failed,FALSE,55.7558 N, 37.6173 W,Mobile,Slice2,12,181,4697
TXN3721860915,ACC35584,ACC13364,1293.2,Transfer,17/01/2025,10:47:00 AM,Failed,TRUE,40.7128 N, -74.006 W,Desktop,Slice2,12,218,7082
TXN8960596167,ACC77337,ACC14932,1080.33,Transfer,17/01/2025,10:59:00 AM,Success,FALSE,48.8566 N, 2.3522 W,Desktop,Slice1,8,182,1262
TXN8567860618,ACC30119,ACC99246,976.88,Withdrawal,17/01/2025,10:20:00 AM,Success,FALSE,35.6895 N, -118.2437 W,Desktop,Slice2,14,150,1959
TXN2567753845,ACC79919,ACC39708,1250.33,Deposit,17/01/2025,10:51:00 AM,Success,TRUE,34.0522 N, 139.6917 W,Mobile,Slice1,12,247,1831
TXN1783258965,ACC79528,ACC94835,560.21,Deposit,17/01/2025,10:45:00 AM,Failed,TRUE,55.7558 N, 37.6173 W,Mobile,Slice3,12,113,1398
TXN6569078109,ACC59886,ACC77651,604.58,Withdrawal,17/01/2025,10:43:00 AM,Failed,FALSE,35.6895 N, 0.1278 W,Mobile,Slice2,9,231,8618
